รหัสสัตว์น้ำ,ชนิดสัตว์น้ำ,ชื่อไทย,ชื่อท้องถิ่น,ชื่อสามัญ,ชื่อวิทยาศาสตร์,ชื่อวงศ์สัตว์น้ำ,ชื่อ/ปีที่เผยแพร่,ลักษณะชีววิทยาทั่วไป,ถิ่นที่อาศัย,สถานะภาพ,ที่มาของภาพ,ที่มาของข้อมูล,ชื่อภาพ,Path เก็บภาพ (เล็ก),Path เก็บภาพ (ใหญ่)
11, ปลา, สังกะวาดเหลือง," ยอน, ยอนเขียว (อีสาน), ชะวาด", Pla Sangawad Luang, Pangasius   macronema, Family Pangasiidae,"(ฺBleeker, 1851)", เป็นปลาไม่มีเกล็ดหรือปลาหนัง ตัวผู้และตัวเมียมีลักษณะคล้ายกัน คือ หัวเล็ก ความยาวไม่เกิน ๒๕%Sl (Standard length) ตามีความกว้างถึง ๙.๖%Sl จะงอยปากเรียวสั้น มุมที่ปลายปากล่างแคบกว่า ๙๐ องศา มีหนวด ๒ คู่ หนวดเป็นเส้นแบนเรียวยาวถึงปลายครีบอก แถบฟันบนเพดานเป็นรูปไข่มี ๒ คู่ แยกจากกัน ฟันที่ขากรรไกรบนเป็นแถบโค้งสั้น ซี่กรองเหงือกเรียวยาวมีมากกว่า ๓๗ อัน รูปร่างแบข้างเรียวกว่าชนิดอื่น ๆ มีความลึกไม่เกิน ๒๕%Sl ปลายครีบหลังและครีบอกในตัวอื่นเป็นเส้นยาว ครีบก้นในตัวผู้แผ่กว้าง ปลาขนาดเล็กมีสีเทาขุ่น ฐานครีบหลังมีแต้มสีคล้ำ ปลาขนาดใหญ่มีสีเทาคล้ำเคลือบทองหรือเขียว ข้างลำตัวสีจางและมีแถบสีคล้ำผสมแนวยาวตั้งแต่โคนครีบอก ครีบสีจาง ครีบหางสีเหลืองอ่อนหรือจางขอบคล้ำ พบขนาดไม่เกิน ๓๕ cm. SL, ปลาสังกะวาดเหลืองมีการแพร่กระจายพันธุ์ตั้งแต่แม่น้ำโขง แม่น้ำเจ้าพระยา และพบในแถบซุนดาเฉพาะชวาและบอร์เนียว นอกจากนี้ในประทเศไทยพบชุกชุมในอ่างเก็บน้ำบางแห่ง ได้แก่ อ่างเก็บน้ำเขื่อนภูมิพล อ่างเก็บน้ำเขื่อนสิริกิติ์, สัตว์น้ำทั่วไป, ศพจ.ตาก, ศพจ.ตาก, 11.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/11.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=11
12, ปลา," จาด, ตะพากส้ม",, Goldfin tinfoil barb, Hypsibarbus   malcolmi, Family Cyprinidae,"(Smith, 1945)", คล้ายปลาตะเพียนขาว แต่ลำตัวเรียวกว่า มีหนวดค่อนข้างยาวทีมุมปาก ๒ คู่ เกล็ดใหญ่ ลำตัวมีสีเงินเทา ครีบสีส้มและมีขอบสีแดงเรื่อหรือชมพู ครีบก้นมีลักษณะโค้งเหมือนเคียว ปลาเพศผู้ ลักษณะของลำตัวจะยาวเรียว เกล็ดบริเวณลำตัว และกระดูกปิดเหงือกหรือแก้ม จะสากมือ และเมื่อใ้ช้มือลูบบริเวณท้องเบา ๆ จะมีน้ำเชื้อสีขาวขุ่นไหลออกมา ส่วนปลาเพศเมียที่มีไข่แก่จัดบริเวณท้องจะอูมเป่งและนิ่ม ผนังท้องบาง ช่องเพศขยายใหญ่ และมีสีชมพูเรื่อ ๆ หรือสีแดงอย่างเห็นได้ชัด, เป็นปลาน้ำจืดที่พบในแถบเอเชียตะวันออกเฉียงใต้ เช่น มาเลเซีย เวียดนาม และกัมพูชา สำหรับในประเทศไทย มีรายงานพบปลาชนิดนี้ในแม่น้ำโขง แม่น้ำเจ้าพระยา แม่น้ำตาปี แม่น้ำแม่กลอง แม่น้ำเพชรบุรี แม่น้ำปิง และในอ่างเก็บน้ำบางแห่ง ได้แก่ อ่างเก็บน้ำเขื่อนภูมิพล อ่างเก็บน้ำเขื่อนแก่งกระจาน, สัตว์น้ำทั่วไป, ศพจ.ตาก, ศพจ.ตาก, 12.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/12.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=12
13, ปลา, ปลาตะพาก, ปลาปีก ปลาปากดำ, Golden Belly Barb, Hypsibabus   wetmorei, Family Cyprinidae,"Smith, 1931"," รูปร่างคล้ายปลาตะเพียนขาว แต่มีขนาดใหญ่กว่า บริเวณส่วนท้องมีสีเหลืองทอง บริเวณส่วนหลังมีสีเข้มป็นน้ำเงินอมเขียว ครีบหลัง และครีบหางสีส้มแกมเขียว ครีบท้องสีส้มหรือสีเหลืองอาศัยอยู่รวมกันเป็นฝูงเป็นปลาที่ว่ายน้ำได้เร็วละว่ายน้ำเคลื่อนไหวตลอดเวลา ขนาดความยาวโดยทั่วไป 20-30 เซนติเมตร ขนาดโตเต็มที่ประมาณ 60 ซ.ม. พบใหญ่ที่สุดยาว 66 ซ.ม. น้ำหนัก 8 ก.ก. อาหารกินได้หลากหลายเช่น พืชน้ำ แมลงน้ำ รวมถึงสัตว์น้ำขนาดเล็ก มีพฤติกรรมการผสมพันธุ์เป็นหมู่ ฤดูวางไข่ อยู่ในช่วงเดือนพฤษภาคม-มิถุนายนและตุลาคม-ธันวาคม ไข่เป็นแบบ ครึ่งจมครึ่งลอย ปลาเพศเมียขนาด ความยาวเฉลี่ย 36 ซม. น้ำหนัก เฉลี่ย 763 กรัม มีจำนวนไข่เฉลี่ย 87,533 ฟอง",  แม่น้ำปิง แม่น้ำน่าน แม่น้ำเจ้าพระยา และแม่น้ำโขง, สัตว์น้ำทั่วไป, นายวรัณยู ขุนเจริญรักษ์, ศูนย์วิจัยและพัฒนาประมงน้ำจืดกำแพงเพชร, 13.gif,http://extension.fisheries.go.th/dof_fishbase/images_small/13.gif,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=13
14, ปลา, ปลาเสือพ่นน้ำ,, Archer Fishes, Toxotes   chatareus,,"Hamilton, 1822", ปลาเสือพ่นน้ำเป็นปลาที่มีลักษณะเด่น คือ ส่วนหัวและลำตัวประกอบด้วยจุดสีดำกรมหรือรี จำนวน 6-7 จุด มีสีสมอมเหลือง ครีบหลังและครีบก้นเป็นสีเหลืองมีขอบเป็นสีดำ จะงอยปากแหลม ตามีขนาดใหญ่ค่อนไปทางด้านบน จึงสามารถมองเห็นผิวน้ำได้ดี ขากรรไกรล่างยาวกว่าขากรรไกรบนเล็กน้อย ลำตัวรูปร่างทรงขนมเปียกปูน ป้อมสั้นแบนข้างมาก โดยเฉพาะท้องแบนเป็นวันบริเวณท้องเป็นสีน้ำเงิน ลำตัวสีเหลืองมีลานดำเหมือนเสือจึงได้ชื่อว่า ปลาเสือ มีการปรับตัวให้เหมาะสมกับการกินแมลง โดยมีวิวัฒนาการให้เงือกเกิดช่องใต้เพดานปาก สามารถพ่นน้ำออกไปได้เป็นลำโดยแรงอัดของแผ่นปิดเงือก ขนาดทั่วไปเฉลี่ย 20 เซนติเมตร ขนาดใหญ่สุดที่เคยพบยาว 25 เซนติเมตร ปลาเสือพ่นน้ำเป็นปลาที่อาศัยอยู่รวมกันเป็นฝูง กินแพลงก์ตอนสัตว์ โรติเฟอร์ ตัวอ่อนแมลง ลูกกุ้ง สัตว์น้ำจำพวกมดและแมลงเป็นอาหาร สามารถฝึกให้กินเนื้อปลาสับและอาหารเม็ดสำเร็จรูปได้, พบกระจายอยู่ทั่วไปในประเทศแถบตะวันออก เช่น หมู่เกาะฟิลิปปินส์ ออสเตรเลีย อินโดนิเซีย มาเลเซีย ไทย พม่า และ อินเดีย ในประเทศไทยพบอยู่ตามแม่น้ำ และลำคลอง หนองบึง ที่มีการเชื่อมต่อกับแม่น้ำและบริเวณปากแม่น้ำโดยพบชุกชุมในภาคกลางและภาคใต้, สัตว์น้ำทั่วไป, นายวรัณยู ขุนเจริญรักษ์, ศูนย์วิจัยและพัฒนาประมงน้ำจืดกำแพงเพชร, 14.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/14.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=14
15, ปลา, ปลาม้า กวาง, ปลาม้า ปลากวง ปลากวาง, Boeseman croaker, Boesemania   microlepis, Family Sciaenidae,"Bleeker, 1858", มีรูปร่างเพรียวเล็กไปทางด้านท้ายลำตัว หัวค่อนข้างเล็ก หน้าผากเว้าลึก ตาอยู่สูงไปทางด้านบนของหัว ปากกว้างอยู่ด้านล่างของจะงอยปาก ใต้คางมีรูเล็ก ๆ 5 รู ครีบหลังยาวตลอดส่วนหลัง ตอนหน้าเป็นก้านแข็ง ตอนท้ายเป็นก้านอ่อน โคนหางเรียวเล็ก ครีบก้นมีก้าสนแข็งอันใหญ่หนา ครีบอกยาว ครีบท้องมีปลายเป็นเส้นยาวเช่นเดียวกับครีบหาง เกล็ดมีความเล็กมาก ลำตัวสีเทาอ่อนอ่อนเหลือบเงิน ด้านหลังมีสีคล้ำ ด้านข้างลำตัวมีแถบสีคล้ำจาง ๆ เป็นแนวเฉียงหลายแถบ ด้านท้องสีจาง ครีบใส จัดเป็นสิ่งมีชีวิตเพียงชนิดเดียวเท่านั้นที่อยู่ในสกุล Boesemania มีความประมาณ 25-30 เซนติเมตร พบใหญ่สุดถึง 1 เมตร, อาศัยอยู่ในแม่น้ำขนาดใหญ่ และพบในแหล่งน้ำนิ่งบ้าง บ่อปลา หรือบ่อกุ้งที่อยู่ใกล้ทะเล พบมากในแม่น้ำตอนล่าง แต่ก็พบในแหล่งน้ำที่ไกลจากปากแม่น้ำมากเช่นกัน พบในภาคกลาง ภาคเหนือ และในแม่น้ำโขงในภาคอีสาน โดยพบสูงสุดถึงที่จังหวัดเลย, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดสุพรรณบุรี, ศูนย์วิจัยและพัฒนาประมงน้ำจืดสุพรรณบุรี, 15.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/15.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=15
16, ปลา, ปลาแขยงหิน," แขยงหิน , กดหิน", Siamese rock catrish, Leiocassis siamensis  , Family Family BAGRIDAE,"Regan, 1913", ลำตัวค่อนข้างยาว ไม่มีเกล็ด หัวแบนราบลงเล็กน้อย ตามีผิวหนังใสปิดคลุม มีฟันซี่แหลมเล็กๆ อยู่บนขากรรไกร และเพดานปาก มีหนวด 4 คู่ ครีบหลังและครีบหูมีหนามแหลม ลำตัวมีพื้นสีขาวหรือสีเหลืองอ่อน มีแถบดำหรือน้ำตาลเข้มพาดขวางลำตัว กินลูกปลา ลูกกุ้ง และสัตว์น้ำที่มีขนาดเล็กเป็นอาหาร, อยู่ตามลำธาร เช่น แม่น้ำวัง จังหวัดลำปาง แม่น้ำแม่กลอง จังหวัดราชบุรี บริเวณปากน้ำโพ จังหวัดนครสวรรค์ ฯลฯ, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดลำปาง, ศูนย์วิจัยและพัฒนาประมงน้ำจืดลำปาง, 16.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/16.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=16
17, ปลา, ปลากดแก้ว," กดหางแดง, กดข้างหม้อ,กดเขี้ยว,คัง,เคิง(อีสาน)", Red tail Mystus, Mystus ruckioides  , Family Family BAGRIDAE,", 0", หัวและลำตัวตอนหน้าแบนราบลง หัวและปากยื่นยาว หนวดยาว ตาเล็ก ลำตัวสีเทาอ่อนอมฟ้าหรือเขียวมะกอก ท้องสีจาง ครีบมีสีคล้ำและสีแดงเรื่อ ครีบหลังไม่มีก้านแข็ง ครีบไขมันยาว ครีบหางเว้าลึกมีส้มสด แดงหรือคล้ำอมแดง อาหาร ปลาและกุ้ง พฤติกรรม มักซุ่มอยู่ใต้ร่มเงาหรือไม้ใต้น้ำเพื่อรอเหยื่อ, หนอง บึง และแม่น้ำสายหลัก, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดพิษณุโลก, ศูนย์วิจัยและพัฒนาประมงน้ำจืดพิษณุโลก, 17.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/17.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=17
18, ปลา, ปลาเค้าขาว, ค้าว, White sheatfish, Wallago attu  , Family Family SILURIDAE,", 0", หัวและปากยื่นแหลม ปากกว้างมาก มุมปากอยู่เลยหลังลูกตา หัวและตัวแบนข้างไปหาด้านท้ายหลังป่องออกและมีสีเงิน วาวอมเขียว ลำตัวด้านข้างมีแถบสีคล้ำ ท้องสีจาง ครีบหลังเล็กและปลายแหลม ครีบอกใหญ่ ครีบก้นยาว ครีบหางเว้าตื้น อาหาร แมลง ปลา กุ้งและสัตว์น้ำอื่นๆ พฤติกรรม ล่าเหยื่อบริเวณผิวน้ำถึงหน้าดิน, แม่น้ำสายหลักและแหล่งน้ำหลาก, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดพิษณุโลก, ศูนย์วิจัยและพัฒนาประมงน้ำจืดพิษณุโลก, 18.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/18.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=18
19, ปลา, ปลารากกล้วย, ซ่อนทราย, Horse-face loach, Acantopsis choirorhynchos  ,,"Bleeker, 1854", ปลารากกล้วยมีลำตัวเรียวยาวแบนข้างเล็กน้อย มีสีน้ำตาลอ่อน ท้องสีขาว แนวสันหลังมีแถบสั้น ๆ สีน้ำตาลดำ แนวเส้นข้างตัวมีสีน้ำตาลเล็กพาดไปตามความยาวลำตัว ข้างละ ๑ แถบ มีจุดสีน้ำตาลประมาณ ๘-๑๒ จุด หัวมีขนาดใหญ่เรียวแหลมและแบนข้าง ตามีขนาดเล็กอยู่ค่อนไปทางด้านบน บริเวณหน้าตามีหนามแหลมเล็ก ๆ ปลายแยกเป็น ๒ แฉกซ่อนอยู่ใต้ร่องผิวหนัง จงอยปากค่อนข้างยาวแหลม และงุ้มต่ำ ริมฝีปากบนมีรอยหยัก ริมฝีปากร่างมีค่อนข้างหนา มีหนวดสั้น ๆ ๓ คู่ ครีบหลังและครีบหางมีสีน้ำตาลอ่อน, ชอบอยู่รวมกันเป็นฝูงใหญ่ เป็นปลาที่ชอบอาศัยในบริเวณที่มีน้ำใสไหลแรงซึ่งเป็นทรายหรือกรวดเล็ก ๆ สีของปลารากกล้วยจะกลมกลืนกับที่อยู่อาศัย มักจะเอาหัวทวนน้ำเสมอ หากตกใจจะซ่อนตัวในทรายอย่างรวดเร็ว, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัมนาประมงน้ำจืดลำปาง, ศูนย์วิจัยและพัมนาประมงน้ำจืดลำปาง, 19.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/19.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=19
20, ปลา, ปลากดเหลือง, กดขี้ลิง กดเหลืองเล็ก," YELLOW MYSTUS , GREEN CATFISH", Hemibagrus   nemurus, Family Family BAGRIDAE,"Valenciennes, 1840"," ปลากดเหลืองเป็นปลาน้ำจืดที่ไม่มีเกล็ด ลำตัวกลมยาว หัวค่อนข้างแบนเรียวเป็นรูปกรวย (conical) กระดูกท้ายทอยยาวถึงโคนครีบหลัง ปากกว้าง ขากรรไกรแข็งแรง มีฟันซี่เล็ก ๆ สั้นปลายแหลมเป็นกลุ่ม หรือเป็นแผ่นบนขากรรไกรบน ขากรรไกรล่าง และบนเพดานปากซี่กรองสั้นเล็กปลายแหลม มี 15 ซี่ มีหนวด 4 คู่ คือ บริเวณจมูก ริมฝีปากบน ริมฝีปากล่าง และใต้คางอย่างละ 1 คู่ ซึ่งหนวดคู่แรก และหนวดคู่สุดท้าย จะมีความยาวสั้นกว่าหนวดคู่ที่สองและคู่ที่สาม ครีบหลังไม่สูงเป็นครีบเดี่ยวอยู่กลางหลังยาวไม่ถึงครีบไขมันซึ่งต่างจากปลากดเหลือง Hemibagrus filamentus Fang&Chaux,1949) ที่มีก้านครีบหลังยาวถึงครีบไขมัน โดยพบก้านครีบแข็ง 1 ก้าน และก้านครีบอ่อน 7 ก้าน ครีบไขมันเจริญดีมีสีคล้ำหรือดำแตกต่างจากสีของลำตัวอยู่บนหลังตามส่วนท้ายของลำตัว และอยู่ตรงข้ามกับครีบก้น ครีบก้นมีก้านครีบอ่อน 10-11 ก้าน ครีบหูเป็นครีบคู่อยู่หลังบริเวณเหงือก มีเงี่ยงแข็งและแหลมคม 1 คู่ มีก้านครีบอ่อนข้างละ 9 ก้าน ครีบท้องมีก้านครีบอ่อน 6-7 ก้าน ครีบหางเว้าลึกแฉกบนยาวกว่าแฉกล่างประกอบด้านก้านครีบอ่อน 16-17 ก้าน ลักษณะสีของลำตัวจะเปลี่ยนไปตามอายุขนาด และแหล่งที่อยู่อาศัย ปลากดเหลืองที่มีขนาดโตเต็มวัย ลำตัวบริเวณส่วนหลังมีสีน้ำตาลเข้มปนดำ บริเวณข้างลำตัวมีสีน้ำตาลปนเหลือง บริเวณส่วนท้องมีสีขาว ฐานครีบอก ครีบท้อง ครีบก้น มีสีเทาเจือชมพู ครีบหลัง ครีบหางมีสีเขียวซีดจาง ปลายครีบมีสีเทาปนดำ ดวงตามีขนาดปลานกลาง ปลากดเหลืองที่พบโดยทั่วไปมีขนาด 20-25 เซนติเมตร แต่เคยพบขนาดใหญ่สุดกว่า 60 เซนติเมตร ปลาชนิดนี้มีกระเพาะลม ซึ่งมีลักษณะกระเพาะลมตอนเดียวคล้ายรูปหัวใจ ทำหน้าที่ช่วยในการทรงตัวใช้ ปรับความถ่วงจำเพาะของตัวปลาให้เข้ากับสภาพแวดล้อมที่อยู่อาศัย เพื่อให้สามารถลอยตัวอยู่ในน้ำที่ระดับต่าง ๆ ได้ตามความต้องการ", ในพื้นที่จังหวัดสกลนครพบการแพร่กระจายทั่วไปตามแหล่งน้ำธรรมชาติทั้งแหล่งน้ำเปิดและแหล่ง น้ำปิดในประเทศไทยนั้นพบแพร่กระจายอยู่ทั่วไป ตั้งแต่ลุ่มน้ำแม่กลองจนถึงลุ่มน้ำโขง และลุ่มน้ำเจ้าพระยา, สัตว์น้ำทั่วไป, นายประมุข ฤๅแก้วมา, กรมประมง, 20.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/20.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=20
